triple_id,subject,subject_type,predicate,object,object_type,evidence_span,confidence,notes
1,DZNep,drug,inhibits,EZH2,gene,"it lowers EZH2 levels",high,
2,DZNep,drug,induces,apoptosis,other,"induces apoptosis in breast and colon cancer cells",high,
3,DZNep,drug,has_property,antiviral,other,"DZNep has potential antiviral and anti-cancer properties",high,
4,DZNep,drug,has_property,anti-cancer,other,"DZNep has potential antiviral and anti-cancer properties",high,
5,DZNep,drug,effective_against,breast cancer,disease,"induces apoptosis in breast and colon cancer cells",high,
6,DZNep,drug,effective_against,colon cancer,disease,"induces apoptosis in breast and colon cancer cells",high,
7,DZNep,drug,inhibits,SAH hydrolase,chemical,"DZNep inhibits the hydrolysis of S-adenosyl-L-homocysteine (SAH)",high,
8,SAH,chemical,inhibits,protein methyltransferases,gene,"SAH which is a product-based inhibitor of all protein methyltransferases",high,
9,DZNep,drug,is_not_specific_to,EZH2,gene,"DZNep is not specific to EZH2",high,
10,DZNep,drug,inhibits,DNA methyltransferases,gene,"also inhibits other DNA methyltransferases",high,
11,EPZ005687,drug,developed_by,Epizyme,organisation,"a company called Epizyme revealed EPZ005687",high,
12,EPZ005687,drug,competes_with,SAM,chemical,"an S-adenosylmethionine (SAM) competitive inhibitor",high,
13,EPZ005687,drug,more_selective_than,DZNep,drug,"more selective than DZNep",high,
14,EPZ005687,drug,selective_over,EZH1,gene,"50-fold increase in selectivity for EZH2 compared to EZH1",high,
15,EPZ005687,drug,inhibits,EZH2,gene,"The drug blocks EZH2 activity",high,
16,EPZ005687,drug,binds_to,SET domain,other,"binding to the SET domain active site of the enzyme",high,
17,EPZ005687,drug,inhibits,Y641 mutant EZH2,gene,"can also inhibit the Y641 and A677 mutants of EZH2",high,
18,EPZ005687,drug,inhibits,A677 mutant EZH2,gene,"can also inhibit the Y641 and A677 mutants of EZH2",high,
19,EPZ005687,drug,treats,non-Hodgkin's lymphoma,disease,"may be applicable for treating non-Hodgkin's lymphoma",medium,
