chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
87,Pembrolizumab,Pembrolizumab,drug,priced_at,"US$150,000 per year",other,"Pembrolizumab was priced at US$150,000 per year when it launched in 2014."
87,Pembrolizumab,Pembrolizumab,drug,launched_in,2014,other,"Pembrolizumab was priced at US$150,000 per year when it launched in 2014."
87,Pembrolizumab,Pembrolizumab,drug,added_to,Cancer Drugs Fund,organisation,It was added to the Cancer Drugs Fund list of NHS England in November 2022
87,Pembrolizumab,Cancer Drugs Fund,organisation,part_of,NHS England,organisation,added to the Cancer Drugs Fund list of NHS England in November 2022
87,Pembrolizumab,Pembrolizumab,drug,manufactured_by,Merck Sharp and Dohme,organisation,"after a ""confidential"" deal with manufacturer Merck Sharp and Dohme"
87,Pembrolizumab,Keytruda,drug,top_selling_drug_in,2024,other,"Keytruda was the world's top-selling drug in 2024, with $29.5 billion in sales."
87,Pembrolizumab,Keytruda,drug,had_sales_of,$29.5 billion,other,"Keytruda was the world's top-selling drug in 2024, with $29.5 billion in sales."
87,Pembrolizumab,Pembrolizumab,drug,studied_in,head and neck cancer,disease,much attention was given to early results in head and neck cancer
87,Pembrolizumab,Pembrolizumab,drug,studied_in,triple-negative breast cancer,disease,pembrolizumab was in phase IB clinical trials for triple-negative breast cancer (TNBC)
87,Pembrolizumab,Pembrolizumab,drug,studied_in,gastric cancer,disease,"phase IB clinical trials for triple-negative breast cancer (TNBC), gastric cancer, urothelial cancer, and head and neck cancer"
87,Pembrolizumab,Pembrolizumab,drug,studied_in,urothelial cancer,disease,"phase IB clinical trials for triple-negative breast cancer (TNBC), gastric cancer, urothelial cancer, and head and neck cancer"
87,Pembrolizumab,Keynote-012,other,investigates,Pembrolizumab,drug,"all under the ""Keynote-012"" trial"
87,Pembrolizumab,Keynote-086,other,investigates,Pembrolizumab,drug,"in phase II trial for TNBC (the ""Keynote-086"" trial)"
87,Pembrolizumab,Pembrolizumab,drug,studied_in,Merkel-cell carcinoma,disease,Results of a phase II clinical trial in Merkel-cell carcinoma were reported in June 2016.
87,Pembrolizumab,Pembrolizumab,drug,combined_with,epacadostat,drug,"A clinical phase III trial in combination with epacadostat, an Indoleamine 2,3-dioxygenase (IDO1) inhibitor to treat melanoma"
87,Pembrolizumab,epacadostat,drug,inhibits,"Indoleamine 2,3-dioxygenase",gene,"epacadostat, an Indoleamine 2,3-dioxygenase (IDO1) inhibitor"
87,Pembrolizumab,epacadostat,drug,treats,melanoma,disease,"an Indoleamine 2,3-dioxygenase (IDO1) inhibitor to treat melanoma"
87,Pembrolizumab,Pembrolizumab,drug,combined_with,NL-201,drug,"a combination clinical trial of pembrolizumab and NL-201, a de novo protein"
87,Pembrolizumab,NL-201,drug,studied_in,"advanced, relapsed or refractory solid tumors",disease,"NL-201, a de novo protein undergoing a phase I clinical trial in people with advanced, relapsed or refractory solid tumors"
87,Pembrolizumab,NRG-GY018,other,investigates,Pembrolizumab,drug,"Merck reported the results of NRG-GY018, a phase III clinical trial"
87,Pembrolizumab,NRG-GY018,other,studied_in,endometrial carcinoma,disease,phase III clinical trial in people with stage three to four or recurrent endometrial carcinoma
87,Pembrolizumab,mRNA-4157/V940,drug,combined_with,Pembrolizumab,drug,"mRNA-4157/V940 drug candidate, a cancer vaccine, was studied alongside pembrolizumab"
87,Pembrolizumab,mRNA-4157/V940,drug,treats,skin cancer,disease,studied alongside pembrolizumab for treatment of skin and pancreatic cancers
87,Pembrolizumab,mRNA-4157/V940,drug,treats,pancreatic cancer,disease,studied alongside pembrolizumab for treatment of skin and pancreatic cancers
87,Pembrolizumab,mRNA-4157/V940,drug,granted_designation_by,FDA,organisation,mRNA-4157/V940 went on to be granted breakthrough therapy designation by the FDA
88,Pembrolizumab,Pembrolizumab,drug,listed_by,National Cancer Institute,organisation,"""Pembrolizumab"". National Cancer Institute. 18 September 2014."
88,Pembrolizumab,Pembrolizumab,drug,indexed_in,U.S. National Library of Medicine Medical Subject Headings,organisation,Pembrolizumab at the U.S. National Library of Medicine Medical Subject Headings (MeSH)
89,BRCA1,Breast cancer type 1 susceptibility protein,gene,encoded_by,BRCA1,gene,Breast cancer type 1 susceptibility protein is a protein that in humans is encoded by the BRCA1 () gene.
89,BRCA1,BRCA1,gene,is_a,caretaker gene,other,"BRCA1 is a caretaker gene (responsible for repairing DNA), a type of tumor suppressor gene."
89,BRCA1,BRCA1,gene,is_a,tumor suppressor gene,other,"BRCA1 is a caretaker gene (responsible for repairing DNA), a type of tumor suppressor gene."
89,BRCA1,caretaker gene,other,repairs,DNA,other,BRCA1 is a caretaker gene (responsible for repairing DNA)
89,BRCA1,BRCA1,gene,expressed_in,breast,other,both are normally expressed in the cells of breast and other tissues
89,BRCA1,BRCA2,gene,expressed_in,breast,other,both are normally expressed in the cells of breast and other tissues
89,BRCA1,BRCA1,gene,repairs,damaged DNA,other,"they help repair damaged DNA, or destroy cells if DNA cannot be repaired"
89,BRCA1,BRCA2,gene,repairs,damaged DNA,other,"they help repair damaged DNA, or destroy cells if DNA cannot be repaired"
89,BRCA1,BRCA1,gene,involved_in,repair of DNA double-strand breaks,pathway,involved in the repair of chromosomal damage with an important role in the error-free repair of DNA double-strand breaks
89,BRCA1,BRCA2,gene,involved_in,repair of DNA double-strand breaks,pathway,involved in the repair of chromosomal damage with an important role in the error-free repair of DNA double-strand breaks
89,BRCA1,BRCA mutation,other,damages,BRCA1,gene,If BRCA1 or BRCA2 itself is damaged by a BRCA mutation
89,BRCA1,BRCA mutation,other,damages,BRCA2,gene,If BRCA1 or BRCA2 itself is damaged by a BRCA mutation
89,BRCA1,BRCA mutation,other,increases_risk_of,breast cancer,disease,"damaged DNA is not repaired properly, and this increases the risk for breast cancer"
89,BRCA1,BRCA1,gene,associated_with,breast cancer,disease,"BRCA1 and BRCA2 have been described as ""breast cancer susceptibility genes"""
89,BRCA1,BRCA2,gene,associated_with,breast cancer,disease,"BRCA1 and BRCA2 have been described as ""breast cancer susceptibility genes"""
89,BRCA1,high penetrance mutations,other,increases_risk_of,breast cancer,disease,"high penetrance mutations in these genes cause a loss of tumor-suppressive function, which correlates with an increased risk of breast cancer"
89,BRCA1,BRCA1,gene,part_of,BRCA1-associated genome surveillance complex,other,"BRCA1 combines with other tumor suppressors, DNA damage sensors and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC)"
89,BRCA1,BRCA1,gene,interacts_with,RNA polymerase II,gene,The BRCA1 protein associates with RNA polymerase II
89,BRCA1,BRCA1,gene,interacts_with,histone deacetylase complexes,other,"through the C-terminal domain, also interacts with histone deacetylase complexes"
89,BRCA1,BRCA1,gene,involved_in,transcription,pathway,"this protein plays a role in transcription, and DNA repair of double-strand DNA breaks"
89,BRCA1,BRCA1,gene,involved_in,ubiquitination,pathway,"DNA repair of double-strand DNA breaks ubiquitination, transcriptional regulation"
89,BRCA1,BRCA1,gene,involved_in,transcriptional regulation,pathway,"ubiquitination, transcriptional regulation as well as other functions"
89,BRCA1,Myriad Genetics,organisation,owns,BRCA1 and BRCA2 testing patents,other,Methods to test for the likelihood of a patient with mutations in BRCA1 and BRCA2 developing cancer were covered by patents owned or controlled by Myriad Genetics
89,BRCA1,Association for Molecular Pathology v. Myriad Genetics,other,lawsuit_against,Myriad Genetics,organisation,landmark Association for Molecular Pathology v. Myriad Genetics lawsuit
90,BRCA1,BRCA1,gene,chromosomal_location_discovered_by,Mary-Claire King's team,organisation,The chromosomal location of BRCA1 was discovered by Mary-Claire King's team at UC Berkeley in 1990.
90,BRCA1,Mary-Claire King's team,organisation,part_of,UC Berkeley,organisation,Mary-Claire King's team at UC Berkeley in 1990
90,BRCA1,BRCA1,gene,cloned_by,University of Utah,organisation,"the gene was cloned in 1994 by scientists at University of Utah, National Institute of Environmental Health Sciences (NIEHS) and Myriad Genetics"
90,BRCA1,BRCA1,gene,cloned_by,National Institute of Environmental Health Sciences,organisation,"the gene was cloned in 1994 by scientists at University of Utah, National Institute of Environmental Health Sciences (NIEHS) and Myriad Genetics"
90,BRCA1,BRCA1,gene,cloned_by,Myriad Genetics,organisation,"the gene was cloned in 1994 by scientists at University of Utah, National Institute of Environmental Health Sciences (NIEHS) and Myriad Genetics"
90,BRCA1,BRCA1,gene,has_orthologs_in,vertebrates,other,BRCA1 orthologs have been identified in most vertebrates for which complete genome data are available.
90,BRCA1,BRCA1 protein,other,contains_domain,"Zinc finger, C3HC4 type (RING finger)",other,"The BRCA1 protein contains the following domains: Zinc finger, C3HC4 type (RING finger)"
90,BRCA1,BRCA1 protein,other,contains_domain,BRCA1 C Terminus (BRCT) domain,other,The BRCA1 protein contains the following domains: ... BRCA1 C Terminus (BRCT) domain
90,BRCA1,BRCA1 protein,other,contains_motif,nuclear localization signals,other,This protein also contains nuclear localization signals and nuclear export signal motifs.
90,BRCA1,BRCA1 protein,other,contains_motif,nuclear export signal motifs,other,This protein also contains nuclear localization signals and nuclear export signal motifs.
90,BRCA1,human BRCA1 protein,other,contains_domain,Znf C3HC4-RING domain,other,The human BRCA1 protein consists of four major protein domains: the Znf C3HC4- RING domain
90,BRCA1,human BRCA1 protein,other,contains_domain,BRCA1 serine domain,other,"four major protein domains: the Znf C3HC4- RING domain, the BRCA1 serine domain and two BRCT domains"
90,BRCA1,human BRCA1 protein,other,contains_domain,BRCT domain,other,"four major protein domains: the Znf C3HC4- RING domain, the BRCA1 serine domain and two BRCT domains"
90,BRCA1,BRCA1,gene,has_isoform_count,six,other,There are six known isoforms of BRCA1
90,BRCA1,BRCA1 isoform 1,other,has_length,1863 amino acids,other,isoforms 1 and 2 comprising 1863 amino acids each
90,BRCA1,BRCA1 isoform 2,other,has_length,1863 amino acids,other,isoforms 1 and 2 comprising 1863 amino acids each
91,BRCA1,RING motif,other,is_type_of,Zn finger,other,"The RING motif, a Zn finger found in eukaryotic peptides"
91,BRCA1,RING motif,other,has_length,40–60 amino acids,other,is 40–60 amino acids long
91,BRCA1,RING motif,other,contains,eight conserved metal-binding residues,other,consists of eight conserved metal-binding residues
91,BRCA1,RING motif,other,coordinates,zinc atoms,chemical,two quartets of cysteine or histidine residues that coordinate two zinc atoms
91,BRCA1,RING motif,other,contains,anti-parallel beta-sheet,other,This motif contains a short anti-parallel beta-sheet
91,BRCA1,RING motif,other,contains,zinc-binding loops,other,two zinc-binding loops and a central alpha helix
91,BRCA1,RING motif,other,contains,central alpha helix,other,two zinc-binding loops and a central alpha helix in a small domain
91,BRCA1,RING domain,other,interacts_with,BARD1,gene,"This RING domain interacts with associated proteins, including BARD1"
91,BRCA1,BARD1,gene,contains,RING motif,other,"BARD1, which also contains a RING motif, to form a heterodimer"
91,BRCA1,BARD1,gene,forms_heterodimer_with,BRCA1,gene,"BARD1, which also contains a RING motif, to form a heterodimer"
91,BRCA1,BRCA1 RING motif,other,flanked_by,alpha helices,other,The BRCA1 RING motif is flanked by alpha helices formed by residues 8–22 and 81–96
91,BRCA1,BRCA1 RING motif,other,part_of,BRCA1,gene,alpha helices formed by residues 8–22 and 81–96 of the BRCA1 protein
91,BRCA1,BRCA1,gene,interacts_with,BARD1,gene,It interacts with a homologous region in BARD1 also consisting of a RING finger
91,BRCA1,BARD1,gene,contains,RING finger,other,a homologous region in BARD1 also consisting of a RING finger flanked by two alpha-helices
91,BRCA1,alpha helices,other,form,heterodimerization interface,other,These four helices combine to form a heterodimerization interface
91,BRCA1,alpha helices,other,stabilizes,BRCA1-BARD1 heterodimer complex,other,stabilize the BRCA1-BARD1 heterodimer complex
91,BRCA1,tumorigenic amino acid substitutions in BRCA1,other,disrupts,BARD1/BRCA1 interaction,other,The BARD1/BRCA1 interaction is disrupted by tumorigenic amino acid substitutions in BRCA1
91,BRCA1,BRCA1,gene,functions_as,tumor suppressor,other,may be an essential aspect of BRCA1 tumor suppression
91,BRCA1,RING domain,other,part_of,ubiquitin E3 ligases,other,The RING domain is an important element of ubiquitin E3 ligases
91,BRCA1,ubiquitin E3 ligases,other,catalyzes,protein ubiquitination,other,"ubiquitin E3 ligases, which catalyze protein ubiquitination"
91,BRCA1,Ubiquitin,other,is_type_of,small regulatory protein,other,Ubiquitin is a small regulatory protein found in all tissues
91,BRCA1,Ubiquitin,other,directs,proteins,other,directs proteins to compartments within the cell
91,BRCA1,Lys-48-linked polyubiquitin chains,other,part_of,BRCA1 polypeptides,gene,"BRCA1 polypeptides, in particular, Lys-48-linked polyubiquitin chains are dispersed throughout the resting cell nucleus"
91,BRCA1,Lys-48-linked polyubiquitin chains,other,colocalizes_with,BRCA2,gene,they gather in restrained groups that also contain BRCA2 and BARD1
91,BRCA1,Lys-48-linked polyubiquitin chains,other,colocalizes_with,BARD1,gene,they gather in restrained groups that also contain BRCA2 and BARD1
91,BRCA1,BARD1,gene,recognizes,protein targets for ubiquitination,other,BARD1 is thought to be involved in the recognition and binding of protein targets for ubiquitination
91,BRCA1,BARD1,gene,labels,proteins,other,It attaches to proteins and labels them for destruction
91,BRCA1,BRCA1 fusion protein,gene,mediates,ubiquitination,other,Ubiquitination occurs via the BRCA1 fusion protein
91,BRCA1,zinc chelation,other,abolishes,ubiquitination,other,is abolished by zinc chelation
91,BRCA1,BRCA1 fusion protein enzyme activity,other,depends_on,RING domain folding,other,The enzyme activity of the fusion protein is dependent on the proper folding of the RING domain
92,BRCA1,BRCA1 serine cluster domain,gene,part_of,BRCA1,gene,BRCA1 serine cluster domain (SCD) spans amino acids 1280–1524.
92,BRCA1,BRCA1 serine cluster domain,gene,located_in,exons 11–13,other,A portion of the domain is located in exons 11–13.
92,BRCA1,exons 11–13,other,has_property,high mutation rate,other,High rates of mutation occur in exons 11–13.
92,BRCA1,BRCA1,gene,phosphorylated_by,ATM,gene,"Reported phosphorylation sites of BRCA1 are concentrated in the SCD, where they are phosphorylated by ATM/ATR kinases"
92,BRCA1,BRCA1,gene,phosphorylated_by,ATR,gene,"Reported phosphorylation sites of BRCA1 are concentrated in the SCD, where they are phosphorylated by ATM/ATR kinases"
92,BRCA1,ATM,gene,activated_by,DNA damage,other,ATM/ATR are kinases activated by DNA damage.
92,BRCA1,ATR,gene,activated_by,DNA damage,other,ATM/ATR are kinases activated by DNA damage.
92,BRCA1,serine residue mutation,other,affects,BRCA1 localization,other,Mutation of serine residues may affect the localization of BRCA1 to sites of DNA damage
92,BRCA1,serine residue mutation,other,affects,DNA damage response,pathway,Mutation of serine residues may affect the localization of BRCA1 to sites of DNA damage and DNA damage response.
92,BRCA1,BRCT domain,other,part_of,BRCA1,gene,The dual repeat BRCT domain of the BRCA1 protein is an elongated structure approximately 70 Å long
92,BRCA1,C-terminal BRCT region,other,part_of,BRCA1,gene,The C-terminal BRCT region of the BRCA1 protein is essential for repair of DNA
92,BRCA1,C-terminal BRCT region,other,essential_for,DNA repair,pathway,"The C-terminal BRCT region of the BRCA1 protein is essential for repair of DNA, transcription regulation, and tumor-suppressor function."
92,BRCA1,C-terminal BRCT region,other,essential_for,transcription regulation,pathway,"The C-terminal BRCT region of the BRCA1 protein is essential for repair of DNA, transcription regulation, and tumor-suppressor function."
92,BRCA1,C-terminal BRCT region,other,essential_for,tumor-suppressor function,pathway,"The C-terminal BRCT region of the BRCA1 protein is essential for repair of DNA, transcription regulation, and tumor-suppressor function."
92,BRCA1,BRCT domains,other,regulates,DNA damage response,pathway,These homologous domains interact to control cellular responses to DNA damage.
92,BRCA1,BRCT interface missense mutation,other,perturbs,cell cycle,pathway,A missense mutation at the interface of these two proteins can perturb the cell cycle
92,BRCA1,BRCT interface missense mutation,other,increases_risk_of,cancer,disease,"perturb the cell cycle, resulting in a greater risk of developing cancer."
93,BRCA1,BRCA1,gene,part_of,DNA double-strand break repair complex,other,BRCA1 is part of a complex that repairs double-strand breaks in DNA.
93,BRCA1,biallelic BRCA1 mutations,gene,cause,"Fanconi Anemia, Complementation Group S",disease,"biallelic mutations in BRCA1 have been identified to be responsible for Fanconi Anemia, Complementation Group S (FA-S)"
93,BRCA1,"Fanconi Anemia, Complementation Group S",disease,associated_with,hypersensitivity to DNA crosslinking agents,other,"Fanconi Anemia, Complementation Group S (FA-S), a genetic disease associated with hypersensitivity to DNA crosslinking agents"
93,BRCA1,BRCA1,gene,participates_in,homology-directed repair,pathway,The double-strand repair mechanism in which BRCA1 participates is homology-directed repair
93,BRCA1,BRCA1,gene,interacts_with,RAD51,gene,the BRCA1 protein interacts with RAD51 during repair of DNA double-strand breaks
93,BRCA1,BRCA2,gene,interacts_with,RAD51,gene,"The BRCA2 protein, which has a function similar to that of BRCA1, also interacts with the RAD51 protein"
93,BRCA1,BRCA1,gene,participates_in,mismatch repair,pathway,"BRCA1 is also involved in another type of DNA repair, termed mismatch repair"
