chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
0,Breast cancer,breast cancer,disease,develops_from,breast tissue,other,Breast cancer is a cancer that develops from breast tissue.
0,Breast cancer,obesity,other,risk_factor_for,breast cancer,disease,"Risk factors for developing breast cancer include obesity, a lack of physical exercise, alcohol consumption"
0,Breast cancer,alcohol consumption,other,risk_factor_for,breast cancer,disease,"Risk factors for developing breast cancer include obesity, a lack of physical exercise, alcohol consumption"
0,Breast cancer,hormone replacement therapy,drug,risk_factor_for,breast cancer,disease,"Risk factors for developing breast cancer include obesity, a lack of physical exercise, alcohol consumption, hormone replacement therapy during menopause"
0,Breast cancer,ionizing radiation,other,risk_factor_for,breast cancer,disease,"Risk factors for developing breast cancer include obesity, a lack of physical exercise, alcohol consumption, hormone replacement therapy during menopause, ionizing radiation"
0,Breast cancer,BRCA mutations,gene,risk_factor_for,breast cancer,disease,"About five to ten percent of cases are the result of an inherited genetic predisposition, including BRCA mutations among others."
0,Breast cancer,breast cancer,disease,develops_from,milk ducts,other,Breast cancer most commonly develops in cells from the lining of milk ducts and the lobules that supply these ducts with milk.
0,Breast cancer,breast cancer,disease,develops_from,lobules,other,Breast cancer most commonly develops in cells from the lining of milk ducts and the lobules that supply these ducts with milk.
0,Breast cancer,ductal carcinoma,disease,develops_from,milk ducts,other,"Cancers developing from the ducts are known as ductal carcinomas, while those developing from lobules are known as lobular carcinomas."
0,Breast cancer,lobular carcinoma,disease,develops_from,lobules,other,"Cancers developing from the ducts are known as ductal carcinomas, while those developing from lobules are known as lobular carcinomas."
0,Breast cancer,breast cancer,disease,diagnosed_by,biopsy,other,The diagnosis of breast cancer is confirmed by taking a biopsy of the concerning tissue.
0,Breast cancer,mammographic screening,other,screens_for,breast cancer,disease,A 2013 Cochrane review found that it was unclear whether mammographic screening does more harm than good
0,Breast cancer,tamoxifen,drug,prevents,breast cancer,disease,The medications tamoxifen or raloxifene may be used in an effort to prevent breast cancer in those who are at high risk
0,Breast cancer,raloxifene,drug,prevents,breast cancer,disease,The medications tamoxifen or raloxifene may be used in an effort to prevent breast cancer in those who are at high risk
0,Breast cancer,surgery,other,treats,breast cancer,disease,"In those who have been diagnosed with cancer, a number of treatments may be used, including surgery, radiation therapy, chemotherapy"
0,Breast cancer,radiation therapy,other,treats,breast cancer,disease,"In those who have been diagnosed with cancer, a number of treatments may be used, including surgery, radiation therapy, chemotherapy"
0,Breast cancer,chemotherapy,drug,treats,breast cancer,disease,"In those who have been diagnosed with cancer, a number of treatments may be used, including surgery, radiation therapy, chemotherapy, hormonal therapy"
0,Breast cancer,hormonal therapy,drug,treats,breast cancer,disease,"a number of treatments may be used, including surgery, radiation therapy, chemotherapy, hormonal therapy, and targeted therapy"
0,Breast cancer,targeted therapy,drug,treats,breast cancer,disease,"a number of treatments may be used, including surgery, radiation therapy, chemotherapy, hormonal therapy, and targeted therapy"
0,Breast cancer,mastectomy,other,treats,breast cancer,disease,Types of surgery vary from breast-conserving surgery to mastectomy.
0,Breast cancer,breast cancer,disease,has_subtype,ductal carcinoma,disease,"Cancers developing from the ducts are known as ductal carcinomas, while those developing from lobules are known as lobular carcinomas."
0,Breast cancer,breast cancer,disease,has_subtype,lobular carcinoma,disease,"Cancers developing from the ducts are known as ductal carcinomas, while those developing from lobules are known as lobular carcinomas."
0,Breast cancer,breast cancer,disease,causes,bone pain,other,"In those with distant spread of the disease, there may be bone pain, swollen lymph nodes, shortness of breath, or yellow skin."
0,Breast cancer,breast cancer,disease,causes,swollen lymph nodes,other,"In those with distant spread of the disease, there may be bone pain, swollen lymph nodes, shortness of breath, or yellow skin."
0,Breast cancer,US Preventive Services Task Force,organisation,recommends,mammographic screening,other,the organization recommends screening every two years in women 50 to 74 years of age
0,Breast cancer,lack of physical exercise,other,risk_factor_for,breast cancer,disease,"Risk factors for developing breast cancer include obesity, a lack of physical exercise, alcohol consumption"
0,Breast cancer,gender-affirming hormone therapy,drug,associated_with,breast cancer,disease,"For transgender individuals on gender-affirming hormone therapy, breast cancer is five times more common in cisgender women than in transgender men"
1,Breast cancer,breast cancer,disease,detected_by,breast cancer screening test,other,their tumor is detected by a breast cancer screening test
1,Breast cancer,breast cancer,disease,has_symptom,breast lump,other,a new lump in the breast is most common
1,Breast cancer,breast cancer,disease,has_symptom,peau d'orange,other,skin thickening known as peau d'orange swelling or pain in the breast
1,Breast cancer,breast cancer,disease,has_symptom,nipple inversion,other,"pain, or inversion of the nipple"
1,Breast cancer,breast cancer,disease,has_symptom,lymph node swelling,other,swelling of the lymph nodes under the arms or along the collar bone
1,Breast cancer,inflammatory breast cancer,disease,subtype_of,breast cancer,disease,Up to 5% of people with breast cancer have inflammatory breast cancer
1,Breast cancer,inflammatory breast cancer,disease,causes,lymph vessel blockage,other,"cancer cells block the lymph vessels of one breast, causing the breast to substantially swell and redden"
1,Breast cancer,inflammatory breast cancer,disease,has_symptom,breast swelling and redness,other,causing the breast to substantially swell and redden over three to six months
1,Breast cancer,Paget's disease of the breast,disease,subtype_of,breast cancer,disease,Up to 3% of people with breast cancer have Paget's disease of the breast
1,Breast cancer,Paget's disease of the breast,disease,has_symptom,eczema-like nipple irritation,other,"eczema-like red, scaly irritation on the nipple and areola"
1,Breast cancer,breast cancer,disease,metastasizes_to,bone,other,"Advanced tumors can spread (metastasize) beyond the breast, most commonly to the bones, liver, lungs, and brain"
1,Breast cancer,breast cancer,disease,metastasizes_to,liver,other,"Advanced tumors can spread (metastasize) beyond the breast, most commonly to the bones, liver, lungs, and brain"
1,Breast cancer,breast cancer,disease,metastasizes_to,lung,other,"Advanced tumors can spread (metastasize) beyond the breast, most commonly to the bones, liver, lungs, and brain"
1,Breast cancer,breast cancer,disease,metastasizes_to,brain,other,"Advanced tumors can spread (metastasize) beyond the breast, most commonly to the bones, liver, lungs, and brain"
1,Breast cancer,bone metastasis,disease,has_symptom,bone pain,other,"Bone metastases can cause swelling, progressive bone pain, and weakening of the bones that leads to fractures"
1,Breast cancer,bone metastasis,disease,has_symptom,bone fracture,other,weakening of the bones that leads to fractures
1,Breast cancer,liver metastasis,disease,has_symptom,jaundice,other,"Liver metastases can cause abdominal pain, nausea, vomiting, and skin problems – rash, itchy skin, or yellowing of the skin (jaundice)"
1,Breast cancer,liver metastasis,disease,has_symptom,abdominal pain,other,"Liver metastases can cause abdominal pain, nausea, vomiting"
1,Breast cancer,lung metastasis,disease,has_symptom,shortness of breath,other,"Those with lung metastases experience chest pain, shortness of breath, and regular coughing"
1,Breast cancer,lung metastasis,disease,has_symptom,chest pain,other,"Those with lung metastases experience chest pain, shortness of breath, and regular coughing"
1,Breast cancer,brain metastasis,disease,has_symptom,seizures,other,"Metastases in the brain can cause persistent headache, seizures, nausea, vomiting"
1,Breast cancer,brain metastasis,disease,has_symptom,persistent headache,other,"Metastases in the brain can cause persistent headache, seizures, nausea, vomiting"
1,Breast cancer,brain metastasis,disease,has_symptom,speech and vision disruption,other,"disruptions to the affected person's speech, vision, memory, and regular behavior"
2,Breast cancer,mammography,other,detects,breast cancer,disease,"The most common screening test for breast cancer is low-dose X-ray imaging of the breast, called mammography."
2,Breast cancer,mammography,other,detects,microcalcifications,other,cause small dense flecks called microcalcifications
2,Breast cancer,Breast Imaging-Reporting and Data System,other,standardizes,mammography,other,Radiologists generally report mammogram results on a standardized scale – the six-point Breast Imaging-Reporting and Data System (BI-RADS) is the most common globally
2,Breast cancer,Breast Imaging-Reporting and Data System,other,categorizes,breast density,other,BI-RADS categorizes breast density into four categories.
2,Breast cancer,breast density,other,obscures,breast tumor,disease,dense breast tissue appears opaque on a mammogram and can obscure tumors
2,Breast cancer,ultrasound,other,detects,breast tumor,disease,"Women with particularly dense breasts can instead be screened by ultrasound, magnetic resonance imaging (MRI), or tomosynthesis, all of which more sensitively detect breast tumors."
2,Breast cancer,magnetic resonance imaging,other,detects,breast tumor,disease,"Women with particularly dense breasts can instead be screened by ultrasound, magnetic resonance imaging (MRI), or tomosynthesis, all of which more sensitively detect breast tumors."
2,Breast cancer,tomosynthesis,other,detects,breast tumor,disease,"Women with particularly dense breasts can instead be screened by ultrasound, magnetic resonance imaging (MRI), or tomosynthesis, all of which more sensitively detect breast tumors."
2,Breast cancer,mammography,other,reduces_mortality_of,breast cancer,disease,Regular screening mammography reduces breast cancer deaths by at least 20%.
2,Breast cancer,magnetic resonance imaging,other,supplements,mammography,other,"most guidelines recommend adding MRI screening to mammography, to increase the chance of detecting potentially dangerous tumors"
2,Breast cancer,breast self-examination,other,does_not_reduce_mortality_of,breast cancer,disease,"Regularly feeling one's own breasts for lumps or other abnormalities, called breast self-examination, does not reduce a person's chance of dying from breast cancer."
2,Breast cancer,mammography,other,produces,false-positive result,other,"screening mammograms miss about 1 in 8 breast cancers, they can also give false-positive results, causing extra anxiety and making patients overgo unnecessary additional exams"
2,Breast cancer,false-positive result,other,leads_to,biopsy,other,"causing extra anxiety and making patients overgo unnecessary additional exams, such as bioposies"
3,Breast cancer,mammogram,other,detects,tumor,disease,Those who have a suspected tumor from a mammogram or physical exam first undergo additional imaging
3,Breast cancer,diagnostic mammogram,other,confirms_presence_of,tumor,disease,"typically a second ""diagnostic"" mammogram and ultrasound – to confirm its presence and location"
3,Breast cancer,ultrasound,other,confirms_presence_of,tumor,disease,"typically a second ""diagnostic"" mammogram and ultrasound – to confirm its presence and location"
3,Breast cancer,breast biopsy,other,samples,tumor,disease,A biopsy is then taken of the suspected tumor.
3,Breast cancer,core needle biopsy,other,used_for,breast biopsy,other,"Breast biopsy is typically done by core needle biopsy, with a hollow needle used to collect tissue"
3,Breast cancer,fine-needle aspiration,other,samples,tumor,disease,Suspected tumors that appear to be filled with fluid are often instead sampled by fine-needle aspiration.
3,Breast cancer,breast biopsy,other,detects,breast cancer,disease,Around 10–20% of breast biopsies are positive for cancer.
3,Breast cancer,fibrocystic breast changes,disease,causes,breast mass,disease,Most biopsied breast masses are instead caused by fibrocystic breast changes
3,Breast cancer,fibrocystic breast changes,disease,encompasses,fibrous tissue,other,"a term that encompasses benign pockets of fluid, cell growth, or fibrous tissue"
3,Breast cancer,fibrocystic breast changes,disease,encompasses,fluid-filled cyst,other,"a term that encompasses benign pockets of fluid, cell growth, or fibrous tissue"
4,Breast cancer,ductal carcinoma,disease,subtype_of,breast cancer,disease,Most breast cancers (85%) are ductal carcinoma – derived from the lining of the mammary ducts.
4,Breast cancer,lobular carcinoma,disease,subtype_of,breast cancer,disease,10% are lobular carcinoma – derived from the mammary lobes – or mixed ductal/lobular carcinoma.
4,Breast cancer,mucinous carcinoma,disease,subtype_of,breast cancer,disease,Rarer types include mucinous carcinoma (around 2.5% of cases; surrounded by mucin)
4,Breast cancer,tubular carcinoma,disease,subtype_of,breast cancer,disease,tubular carcinoma (1.5%; full of small tubes of epithelial cells)
4,Breast cancer,medullary carcinoma,disease,subtype_of,breast cancer,disease,"medullary carcinoma (1%; resembling ""medullary"" or middle-layer tissue)"
4,Breast cancer,papillary carcinoma,disease,subtype_of,breast cancer,disease,papillary carcinoma (1%; covered in finger-like growths)
4,Breast cancer,ductal carcinoma,disease,arises_from,mammary ducts,other,ductal carcinoma – derived from the lining of the mammary ducts
4,Breast cancer,lobular carcinoma,disease,arises_from,mammary lobes,other,lobular carcinoma – derived from the mammary lobes
4,Breast cancer,ductal carcinoma in situ,disease,subtype_of,carcinoma in situ,disease,Those with ductal carcinoma in situ (in the mammary ducts) are at increased risk for developing true invasive breast cancer
4,Breast cancer,lobular carcinoma in situ,disease,subtype_of,carcinoma in situ,disease,Lobular carcinoma in situ (in the mammary lobes) rarely causes a noticeable lump
4,Breast cancer,ductal carcinoma in situ,disease,increases_risk_of,invasive breast cancer,disease,Those with ductal carcinoma in situ (in the mammary ducts) are at increased risk for developing true invasive breast cancer – around a third develop breast cancer within five years.
4,Breast cancer,lobular carcinoma in situ,disease,increases_risk_of,breast cancer,disease,Those with lobular carcinoma in situ also have an increased risk of developing breast cancer – around 1% develop breast cancer each year.
4,Breast cancer,estrogen receptor,gene,detected_by,immunohistochemistry,other,tumor biopsy samples are now tested by immunohistochemistry to determine if the tissue contains the proteins estrogen receptor (ER)
4,Breast cancer,progesterone receptor,gene,detected_by,immunohistochemistry,other,"tumor biopsy samples are now tested by immunohistochemistry to determine if the tissue contains the proteins estrogen receptor (ER), progesterone receptor (PR)"
4,Breast cancer,human epidermal growth factor receptor 2,gene,detected_by,immunohistochemistry,other,"tumor biopsy samples are now tested by immunohistochemistry to determine if the tissue contains the proteins estrogen receptor (ER), progesterone receptor (PR), or human epidermal growth factor receptor 2 (HER2)"
4,Breast cancer,New England Nuclear & Wittliff,organisation,developed,estrogen receptor assay,other,Earlier ER and PR were quantified using standardized assays developed by New England Nuclear & Wittliff.
4,Breast cancer,New England Nuclear & Wittliff,organisation,developed,progesterone receptor assay,other,Earlier ER and PR were quantified using standardized assays developed by New England Nuclear & Wittliff.
4,Breast cancer,hormone therapy,drug,treats,hormone receptor-positive breast cancer,disease,"Tumors containing either ER or PR are called ""hormone receptor-positive"" and can be treated with hormone therapies."
4,Breast cancer,HER2-targeted therapy,drug,treats,HER2-positive breast cancer,disease,Around 15 to 20% of tumors contain HER2; these can be treated with HER2-targeted therapies.
4,Breast cancer,American Joint Committee on Cancer,organisation,developed,TNM staging system,other,the breast cancer case is staged using the American Joint Committee on Cancer and Union for International Cancer Control's TNM staging system.
4,Breast cancer,Union for International Cancer Control,organisation,developed,TNM staging system,other,the breast cancer case is staged using the American Joint Committee on Cancer and Union for International Cancer Control's TNM staging system.
4,Breast cancer,TNM staging system,other,used_for,breast cancer,disease,the breast cancer case is staged using the American Joint Committee on Cancer and Union for International Cancer Control's TNM staging system.
4,Breast cancer,estrogen receptor,gene,expressed_in,hormone receptor-positive breast cancer,disease,"Tumors containing either ER or PR are called ""hormone receptor-positive"""
4,Breast cancer,progesterone receptor,gene,expressed_in,hormone receptor-positive breast cancer,disease,"Tumors containing either ER or PR are called ""hormone receptor-positive"""
4,Breast cancer,human epidermal growth factor receptor 2,gene,expressed_in,HER2-positive breast cancer,disease,Around 15 to 20% of tumors contain HER2; these can be treated with HER2-targeted therapies.
5,Breast cancer,breast cancer,disease,management_depends_on,patient health,other,management of breast cancer depends on the affected person's health
5,Breast cancer,breast cancer,disease,management_depends_on,molecular characteristics,other,"management of breast cancer depends on the affected person's health, the cancer case's molecular characteristics"
5,Breast cancer,breast cancer,disease,management_depends_on,tumor spread at diagnosis,other,how far the tumor has spread at the time of diagnosis
6,Breast cancer,lumpectomy,other,treats,breast cancer,disease,removing just the tumor (lumpectomy) or a larger part of the breast (partial mastectomy)
6,Breast cancer,partial mastectomy,other,treats,breast cancer,disease,removing just the tumor (lumpectomy) or a larger part of the breast (partial mastectomy)
6,Breast cancer,full mastectomy,other,treats,breast cancer,disease,may instead opt for full removal of the affected breast(s) (full mastectomy)
6,Breast cancer,sentinel lymph node biopsy,other,reduces_risk_of,breast cancer,disease,"To reduce the risk of cancer spreading, women will often have the nearest lymph node removed in a procedure called sentinel lymph node biopsy"
6,Breast cancer,radiotherapy,other,reduces_risk_of,breast cancer,disease,many undergo radiotherapy to decrease the chance of cancer recurrence
6,Breast cancer,external beam radiotherapy,other,is_a,radiotherapy,other,"Radiotherapy for breast cancer is typically delivered via external beam radiotherapy, where a device focuses radiation beams onto the targeted parts of the body"
6,Breast cancer,brachytherapy,other,is_a,radiotherapy,other,"some undergo brachytherapy, where radioactive material is placed into a device inserted at the surgical site"
6,Breast cancer,chemotherapy,other,reduces_risk_of,breast cancer,disease,Chemotherapy reduces the chance of cancer recurring in the next ten years by around a third
6,Breast cancer,cyclophosphamide,drug,treats,breast cancer,disease,"many classes of chemotherapeutic agents are effective for breast cancer treatment, including the DNA alkylating drugs (cyclophosphamide)"
6,Breast cancer,cyclophosphamide,drug,part_of,DNA alkylating drugs,drug,"many classes of chemotherapeutic agents are effective for breast cancer treatment, including the DNA alkylating drugs (cyclophosphamide)"
6,Breast cancer,doxorubicin,drug,treats,breast cancer,disease,anthracyclines (doxorubicin and epirubicin)
6,Breast cancer,doxorubicin,drug,part_of,anthracyclines,drug,anthracyclines (doxorubicin and epirubicin)
6,Breast cancer,epirubicin,drug,treats,breast cancer,disease,anthracyclines (doxorubicin and epirubicin)
6,Breast cancer,epirubicin,drug,part_of,anthracyclines,drug,anthracyclines (doxorubicin and epirubicin)
6,Breast cancer,fluorouracil,drug,treats,breast cancer,disease,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,fluorouracil,drug,part_of,antimetabolites,drug,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,capecitabine,drug,treats,breast cancer,disease,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,capecitabine,drug,part_of,antimetabolites,drug,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,methotrexate,drug,treats,breast cancer,disease,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,methotrexate,drug,part_of,antimetabolites,drug,"antimetabolites (fluorouracil, capecitabine, and methotrexate)"
6,Breast cancer,docetaxel,drug,treats,breast cancer,disease,taxanes (docetaxel and paclitaxel)
6,Breast cancer,docetaxel,drug,part_of,taxanes,drug,taxanes (docetaxel and paclitaxel)
6,Breast cancer,paclitaxel,drug,treats,breast cancer,disease,taxanes (docetaxel and paclitaxel)
6,Breast cancer,paclitaxel,drug,part_of,taxanes,drug,taxanes (docetaxel and paclitaxel)
6,Breast cancer,cisplatin,drug,treats,breast cancer,disease,platinum-based chemotherapies (cisplatin and carboplatin)
6,Breast cancer,cisplatin,drug,part_of,platinum-based chemotherapies,drug,platinum-based chemotherapies (cisplatin and carboplatin)
6,Breast cancer,carboplatin,drug,treats,breast cancer,disease,platinum-based chemotherapies (cisplatin and carboplatin)
6,Breast cancer,carboplatin,drug,part_of,platinum-based chemotherapies,drug,platinum-based chemotherapies (cisplatin and carboplatin)
6,Breast cancer,anthracyclines,drug,causes,leukemia,disease,Anthrocyclines and cyclophosphamide cause leukemia in up to 1% of those treated
6,Breast cancer,cyclophosphamide,drug,causes,leukemia,disease,Anthrocyclines and cyclophosphamide cause leukemia in up to 1% of those treated
6,Breast cancer,anthracyclines,drug,causes,congestive heart failure,disease,Anthrocyclines also cause congestive heart failure in around 1% of people treated
6,Breast cancer,taxanes,drug,causes,peripheral neuropathy,disease,"Taxanes cause peripheral neuropathy, which is permanent in up to 5% of those treated"
6,Breast cancer,trastuzumab,drug,targets,HER2,gene,"those whose tumors are HER2-positive, adding the HER2-targeted antibody trastuzumab to chemotherapy"
6,Breast cancer,trastuzumab,drug,reduces_risk_of,breast cancer,disease,adding the HER2-targeted antibody trastuzumab to chemotherapy reduces the chance of cancer recurrence and death by at least a third
6,Breast cancer,trastuzumab,drug,causes,heart dysfunction,disease,"In rare cases, trastuzumab can disrupt heart function"
6,Breast cancer,pertuzumab,drug,targets,HER2,gene,"Adding a second HER2-targeted antibody, pertuzumab slightly enhances treatment efficacy"
6,Breast cancer,pertuzumab,drug,enhances,trastuzumab,drug,"Adding a second HER2-targeted antibody, pertuzumab slightly enhances treatment efficacy"
6,Breast cancer,tamoxifen,drug,inhibits,estrogen receptor,gene,Tamoxifen treatment blocks the ER in the breast and some other tissues
6,Breast cancer,tamoxifen,drug,reduces_risk_of,breast cancer,disease,reduces the risk of breast cancer death by around 40% over the next ten years
6,Breast cancer,goserelin,drug,inhibits,gonadotropin-releasing hormone,chemical,"Chemically blocking estrogen production with GnRH-targeted drugs (goserelin, leuprolide, or triptorelin)"
