chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
112,EZH2,DZNep,drug,inhibits,EZH2,gene,DZNep inhibits the hydrolysis of S-adenosyl-L-homocysteine
112,EZH2,DZNep,drug,inhibits,DNA methyltransferases,gene,DZNep is not specific to EZH2 and also inhibits other DNA methyltransferases
112,EZH2,EPZ005687,drug,inhibits,EZH2,gene,EPZ005687 inhibits EZH2 activity by binding to the SET domain active site
112,EZH2,EPZ005687,drug,inhibits,EZH1,gene,it has a 50-fold increase in selectivity for EZH2 compared to EZH1
112,EZH2,Tazemetostat,drug,inhibits,EZH2,gene,tazemetostat is an EZH2 inhibitor
112,EZH2,Tazemetostat,drug,treats,metastatic or locally advanced epithelioid sarcoma,disease,tazemetostat gained an FDA accelerated approval for the treatment of metastatic or locally advanced epithelioid sarcoma
112,EZH2,Tazemetostat,drug,treats,relapsed follicular lymphoma,disease,tazemetostat gained an FDA accelerated approval for the treatment of patients with relapsed follicular lymphoma
112,EZH2,Sinefungin,drug,inhibits,DNA methyltransferases,gene,Sinefungin is not specific to EZH2 and works by binding in the cofactor binding pocket of DNA methyltransferases
112,EZH2,EI1,drug,inhibits,EZH2,gene,EI1 showed EZH2 inhibitory activity in lymphoma tumor cells
112,EZH2,GSK126,drug,inhibits,EZH2,gene,"GSK126 is a potent, SAM-competitive EZH2 inhibitor"
112,EZH2,GSK126,drug,inhibits,EZH1,gene,GSK126 has 150-fold selectivity over EZH1
112,EZH2,UNC1999,drug,inhibits,EZH2,gene,UNC1999 was developed as an analogue of GSK126
112,EZH2,Etoposide,drug,treats,non-small cell lung cancers with BRG1 and EGFR mutations,disease,"Etoposide, when combined with an EZH2 inhibitor, becomes more effective for non-small cell lung cancers with BRG1 and EGFR mutations"
112,EZH2,EZH2,gene,has_tumor_suppressing_activity,myelodysplastic syndrome,disease,"EZH2 and lysine methylation can have tumor suppressing activity, for example in myelodysplastic syndrome"
0,Breast cancer,breast cancer,disease,develops_from,breast tissue,other,breast cancer is a cancer that develops from breast tissue
0,Breast cancer,obesity,other,increases_risk_of,breast cancer,disease,"obesity, a lack of physical exercise, alcohol consumption"
0,Breast cancer,alcohol consumption,other,increases_risk_of,breast cancer,disease,"obesity, a lack of physical exercise, alcohol consumption"
0,Breast cancer,hormone replacement therapy,drug,increases_risk_of,breast cancer,disease,hormone replacement therapy during menopause
0,Breast cancer,ionizing radiation,other,increases_risk_of,breast cancer,disease,ionizing radiation
0,Breast cancer,brca mutations,gene,increases_risk_of,breast cancer,disease,brca mutations among others
0,Breast cancer,ductal carcinomas,disease,develops_from,milk ducts,other,cancers developing from the ducts are known as ductal carcinomas
0,Breast cancer,lobular carcinomas,disease,develops_from,lobules,other,those developing from lobules are known as lobular carcinomas
0,Breast cancer,biopsy,other,confirms_diagnosis_of,breast cancer,disease,the diagnosis of breast cancer is confirmed by taking a biopsy
0,Breast cancer,breast cancer screening,other,detects,breast cancer,disease,breast cancer screening can be instrumental
0,Breast cancer,tamoxifen,drug,prevents,breast cancer,disease,the medications tamoxifen or raloxifene may be used
0,Breast cancer,raloxifene,drug,prevents,breast cancer,disease,the medications tamoxifen or raloxifene may be used
0,Breast cancer,surgery,other,treats,breast cancer,disease,"a number of treatments may be used, including surgery"
0,Breast cancer,radiation therapy,other,treats,breast cancer,disease,"a number of treatments may be used, including radiation therapy"
0,Breast cancer,chemotherapy,other,treats,breast cancer,disease,"a number of treatments may be used, including chemotherapy"
1,Breast cancer,breast cancer,disease,detected_by,breast cancer screening test,other,detected by a breast cancer screening test
1,Breast cancer,breast lump,other,associated_with,breast cancer,disease,most common
1,Breast cancer,painless lump,other,more_likely_to_be,cancerous,other,more likely to be cancerous
1,Breast cancer,inflammatory breast cancer,disease,causes,swelling and redness of the breast,other,causing the breast to substantially swell and redden
1,Breast cancer,Paget's disease of the breast,disease,causes,eczema-like irritation on the nipple and areola,other,"eczema-like red, scaly irritation on the nipple and areola"
1,Breast cancer,advanced breast cancer,disease,metastasizes_to,bones,other,most commonly to the bones
1,Breast cancer,advanced breast cancer,disease,metastasizes_to,liver,other,most commonly to the liver
1,Breast cancer,advanced breast cancer,disease,metastasizes_to,lungs,other,most commonly to the lungs
1,Breast cancer,advanced breast cancer,disease,metastasizes_to,brain,other,most commonly to the brain
1,Breast cancer,bone metastases,other,causes,swelling and bone pain,other,"cause swelling, progressive bone pain"
1,Breast cancer,liver metastases,other,causes,abdominal pain and skin problems,other,"cause abdominal pain, nausea, vomiting, and skin problems"
1,Breast cancer,lung metastases,other,causes,chest pain and shortness of breath,other,"experience chest pain, shortness of breath"
1,Breast cancer,brain metastases,other,causes,persistent headache and seizures,other,"cause persistent headache, seizures"
2,Breast cancer,mammography,other,detects,breast tumors,disease,mammography can detect around 90% of breast tumors
2,Breast cancer,mammography,other,detects,breast density,other,a mammogram also reveals breast density
2,Breast cancer,breast density,other,obscures,tumors,disease,dense breast tissue appears opaque on a mammogram and can obscure tumors
2,Breast cancer,ultrasound,other,detects,breast tumors,disease,ultrasound more sensitively detect breast tumors
2,Breast cancer,magnetic resonance imaging (mri),other,detects,breast tumors,disease,mri more sensitively detect breast tumors
2,Breast cancer,tomosynthesis,other,detects,breast tumors,disease,tomosynthesis more sensitively detect breast tumors
2,Breast cancer,regular screening mammography,other,reduces,breast cancer deaths,disease,regular screening mammography reduces breast cancer deaths
2,Breast cancer,mammography,other,misses,breast cancers,disease,screening mammograms miss about 1 in 8 breast cancers
2,Breast cancer,mammography,other,gives,false-positive results,other,screening mammograms can also give false-positive results
2,Breast cancer,breast self-examination,other,does_not_reduce,breast cancer deaths,disease,breast self-examination does not reduce a person's chance of dying from breast cancer
3,Breast cancer,mammogram,other,confirms,tumor,disease,confirm its presence
