chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
112,EZH2,DZNep,drug,downregulates,EZH2,gene,lowers EZH2 levels
112,EZH2,DZNep,drug,induces_apoptosis_in,breast cancer,disease,induces apoptosis in breast and colon cancer cells
112,EZH2,DZNep,drug,induces_apoptosis_in,colon cancer,disease,induces apoptosis in breast and colon cancer cells
112,EZH2,DZNep,drug,inhibits,hydrolysis of S-adenosyl-L-homocysteine,pathway,DZNep inhibits the hydrolysis of S-adenosyl-L-homocysteine (SAH)
112,EZH2,S-adenosyl-L-homocysteine,chemical,inhibits,protein methyltransferases,other,a product-based inhibitor of all protein methyltransferases
112,EZH2,S-adenosyl-L-homocysteine,chemical,inhibits,EZH2,gene,increased cellular concentrations of SAH which in turn inhibits EZH2
112,EZH2,DZNep,drug,inhibits,DNA methyltransferases,other,DZNep is not specific to EZH2 and also inhibits other DNA methyltransferases
112,EZH2,EPZ005687,drug,competes_with,S-adenosylmethionine,chemical,an S-adenosylmethionine (SAM) competitive inhibitor
112,EZH2,EPZ005687,drug,more_selective_than,EZH1,gene,a 50-fold increase in selectivity for EZH2 compared to EZH1
112,EZH2,EPZ005687,drug,inhibits,EZH2,gene,The drug blocks EZH2 activity
112,EZH2,EPZ005687,drug,binds_to,SET domain active site,other,binding to the SET domain active site of the enzyme
112,EZH2,EPZ005687,drug,inhibits,EZH2 Y641 mutant,gene,EPZ005687 can also inhibit the Y641 and A677 mutants of EZH2
112,EZH2,EPZ005687,drug,inhibits,EZH2 A677 mutant,gene,EPZ005687 can also inhibit the Y641 and A677 mutants of EZH2
112,EZH2,EPZ005687,drug,potentially_treats,non-Hodgkin's lymphoma,disease,may be applicable for treating non-Hodgkin's lymphoma
112,EZH2,EPZ005687,drug,revealed_by,Epizyme,organisation,a company called Epizyme revealed EPZ005687
112,EZH2,tazemetostat,drug,inhibits,EZH2,gene,"another EZH2 inhibitor, tazemetostat (EPZ-6438)"
112,EZH2,tazemetostat,drug,tested_in,B-cell lymphoma,disease,Phase I clinical trials ... for patients with B-cell lymphoma
112,EZH2,tazemetostat,drug,trade_name,Tazverik,drug,"tazemetostat, with the tradename Tazverik"
112,EZH2,tazemetostat,drug,approved_by,FDA,organisation,gained an FDA accelerated approval
112,EZH2,tazemetostat,drug,approved_for,metastatic or locally advanced epithelioid sarcoma,disease,for the treatment of metastatic or locally advanced epithelioid sarcoma
112,EZH2,tazemetostat,drug,approved_for,relapsed follicular lymphoma,disease,approval for the treatment of patients with relapsed follicular lymphoma
112,EZH2,Sinefungin,chemical,competes_with,S-adenosylmethionine,chemical,Sinefungin is another SAM-competitive inhibitor
112,EZH2,Sinefungin,chemical,binds_to,DNA methyltransferases,other,binding in the cofactor binding pocket of DNA methyltransferases
112,EZH2,Sinefungin,chemical,inhibits,methyl transfer,pathway,to block methyl transfer
112,EZH2,EI1,drug,developed_by,Novartis,organisation,"EI1 is another inhibitor, developed by Novartis"
112,EZH2,EI1,drug,inhibits,EZH2,gene,showed EZH2 inhibitory activity in lymphoma tumor cells
112,EZH2,EI1,drug,inhibits,EZH2 Y641 mutant,gene,including cells with the Y641 mutation
112,EZH2,EI1,drug,competes_with,S-adenosylmethionine,chemical,competing with the SAM cofactor
112,EZH2,EI1,drug,binds_to,EZH2,gene,for binding to EZH2
112,EZH2,GSK126,drug,developed_by,GlaxoSmithKline,organisation,developed by GlaxoSmithKline
112,EZH2,GSK126,drug,inhibits,EZH2,gene,"GSK126 is a potent, SAM-competitive EZH2 inhibitor"
112,EZH2,GSK126,drug,competes_with,S-adenosylmethionine,chemical,SAM-competitive
112,EZH2,GSK126,drug,more_selective_than,EZH1,gene,has 150-fold selectivity over EZH1
112,EZH2,UNC1999,drug,analogue_of,GSK126,drug,UNC1999 was developed as an analogue of GSK126
112,EZH2,UNC1999,drug,inhibits,EZH2,gene,the first orally bioavailable EZH2 inhibitor to show activity
112,EZH2,UNC1999,drug,less_selective_than,GSK126,drug,it is less selective than its counterpart GSK126
112,EZH2,UNC1999,drug,binds_to,EZH1,gene,and it binds to EZH1 as well
112,EZH2,Etoposide,drug,inhibits,topoisomerase,other,"Etoposide, a topoisomerase inhibitor"
112,EZH2,Etoposide,drug,combined_with,EZH2 inhibitor,drug,"Etoposide, a topoisomerase inhibitor, when combined with an EZH2 inhibitor"
112,EZH2,Etoposide + EZH2 inhibitor,other,more_effective_for,non-small cell lung cancer,disease,"when combined with an EZH2 inhibitor, becomes more effective for non-small cell lung cancers"
112,EZH2,non-small cell lung cancer,disease,has_mutation_in,BRG1,gene,non-small cell lung cancers with BRG1 and EGFR mutations
112,EZH2,non-small cell lung cancer,disease,has_mutation_in,EGFR,gene,non-small cell lung cancers with BRG1 and EGFR mutations
112,EZH2,EZH2,gene,has_tumor_suppressive_activity_in,myelodysplastic syndrome,disease,"EZH2 and lysine methylation can have tumor suppressing activity, for example in myelodysplastic syndrome"
112,EZH2,lysine methylation,pathway,has_tumor_suppressive_activity_in,myelodysplastic syndrome,disease,"EZH2 and lysine methylation can have tumor suppressing activity, for example in myelodysplastic syndrome"
